name,description,category.level_1,category.level_2,category.level_3,brand,attributes.color,attributes.size,attributes.material,pricing.cost_price,pricing.selling_price,pricing.currency,inventory.storage_type,inventory.shelf_life_days,logistics.weight_kg,logistics.fragile,logistics.hazardous
Olay Ultra Moisture Body Wash (750ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Olay,N/A,750ml,Plastic Bottle,$9.33,$13.27,USD,Normal,730,0.254,FALSE,FALSE
"Old Spice Swagger Body Wash (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Old Spice,N/A,250ml,Plastic Bottle,$31.08,$36.19,USD,Normal,730,0.91,FALSE,FALSE
Dove Deep Moisture Body Wash (500ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Dove,N/A,500ml,Plastic Bottle,$16.51,$23.08,USD,Normal,730,0.641,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 2, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Bath & Body Works,N/A,200ml,Plastic Bottle,$8.81,$10.29,USD,Normal,730,1.341,FALSE,FALSE
Nivea Cocoa Butter Body Lotion (500ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Nivea,N/A,500ml,Plastic Bottle,$11.78,$17.48,USD,Normal,730,0.722,FALSE,FALSE
Nivea Cocoa Butter Body Lotion (200ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Nivea,N/A,200ml,Plastic Bottle,$9.95,$14.63,USD,Normal,730,0.194,FALSE,FALSE
Olay Ultra Moisture Body Wash (500ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Olay,N/A,500ml,Plastic Bottle,$7.40,$10.98,USD,Normal,730,0.377,FALSE,FALSE
"Softsoap Moisturizing Hand Soap (Pack of 2, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Softsoap,N/A,750ml,Plastic Bottle,$19.85,$25.40,USD,Normal,730,1.267,FALSE,FALSE
"Old Spice Swagger Body Wash (Pack of 3, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Old Spice,N/A,250ml,Plastic Bottle,$19.90,$23.84,USD,Normal,730,1.836,FALSE,FALSE
Bath & Body Works Japanese Cherry Blossom Body Cream (400ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Bath & Body Works,N/A,400ml,Plastic Bottle,$10.85,$14.39,USD,Normal,730,0.178,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 4, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Nivea,N/A,750ml,Plastic Bottle,$28.47,$34.54,USD,Normal,730,0.735,FALSE,FALSE
Dove Deep Moisture Body Wash (250ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Dove,N/A,250ml,Plastic Bottle,$16.82,$24.10,USD,Normal,730,0.771,FALSE,FALSE
Aveeno Skin Relief Body Wash (500ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Aveeno,N/A,500ml,Plastic Bottle,$13.08,$16.12,USD,Normal,730,0.516,FALSE,FALSE
Aveeno Skin Relief Body Wash (250ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Aveeno,N/A,250ml,Plastic Bottle,$17.01,$23.71,USD,Normal,730,0.567,FALSE,FALSE
Palmolive Naturals Milk & Honey Body Wash (500ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Palmolive,N/A,500ml,Plastic Bottle,$11.79,$13.98,USD,Normal,730,0.393,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 3, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Dove,N/A,750ml,Plastic Bottle,$15.58,$18.66,USD,Normal,730,2.252,FALSE,FALSE
Old Spice Swagger Body Wash (400ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Old Spice,N/A,400ml,Plastic Bottle,$15.80,$24.41,USD,Normal,730,0.303,FALSE,FALSE
"Softsoap Moisturizing Hand Soap (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Softsoap,N/A,250ml,Plastic Bottle,$11.88,$14.58,USD,Normal,730,1.166,FALSE,FALSE
St. Ives Fresh Skin Apricot Scrub (500ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,St. Ives,N/A,500ml,Plastic Bottle,$4.82,$6.84,USD,Normal,730,0.188,FALSE,FALSE
Vaseline Intensive Care Cocoa Radiant Lotion (400ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Vaseline,N/A,400ml,Plastic Bottle,$5.35,$6.69,USD,Normal,730,0.714,FALSE,FALSE
St. Ives Fresh Skin Apricot Scrub (200ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,St. Ives,N/A,200ml,Plastic Bottle,$3.67,$4.30,USD,Normal,730,0.273,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Dove,N/A,500ml,Plastic Bottle,$18.94,$22.31,USD,Normal,730,1.212,FALSE,FALSE
Old Spice Swagger Body Wash (750ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Old Spice,N/A,750ml,Plastic Bottle,$7.22,$8.87,USD,Normal,730,0.311,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 3, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Nivea,N/A,400ml,Plastic Bottle,$15.23,$18.98,USD,Normal,730,2.049,FALSE,FALSE
"Aveeno Skin Relief Body Wash (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Aveeno,N/A,250ml,Plastic Bottle,$5.88,$8.14,USD,Normal,730,1.43,FALSE,FALSE
Bath & Body Works Japanese Cherry Blossom Body Cream (250ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Bath & Body Works,N/A,250ml,Plastic Bottle,$16.85,$22.44,USD,Normal,730,0.411,FALSE,FALSE
"St. Ives Fresh Skin Apricot Scrub (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,St. Ives,N/A,250ml,Plastic Bottle,$22.40,$34.52,USD,Normal,730,0.712,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 4, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Dove,N/A,750ml,Plastic Bottle,$10.47,$12.64,USD,Normal,730,1.672,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 2, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Bath & Body Works,N/A,400ml,Plastic Bottle,$10.21,$12.95,USD,Normal,730,1.301,FALSE,FALSE
"Softsoap Moisturizing Hand Soap (Pack of 3, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Softsoap,N/A,750ml,Plastic Bottle,$44.52,$61.51,USD,Normal,730,2.022,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Nivea,N/A,500ml,Plastic Bottle,$29.06,$39.11,USD,Normal,730,1.043,FALSE,FALSE
"St. Ives Fresh Skin Apricot Scrub (Pack of 2, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,St. Ives,N/A,400ml,Plastic Bottle,$4.13,$5.46,USD,Normal,730,0.598,FALSE,FALSE
"Aveeno Skin Relief Body Wash (Pack of 2, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Aveeno,N/A,750ml,Plastic Bottle,$10.29,$15.63,USD,Normal,730,1.462,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 3, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Dove,N/A,500ml,Plastic Bottle,$47.74,$55.67,USD,Normal,730,1.79,FALSE,FALSE
"Native Coconut & Vanilla Deodorant (Pack of 2, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Native,N/A,200ml,Plastic Bottle,$16.30,$21.31,USD,Normal,730,0.864,FALSE,FALSE
"Olay Ultra Moisture Body Wash (Pack of 2, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Olay,N/A,200ml,Plastic Bottle,$20.24,$23.37,USD,Normal,730,1.508,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 3, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Bath & Body Works,N/A,400ml,Plastic Bottle,$18.17,$25.62,USD,Normal,730,0.435,FALSE,FALSE
Softsoap Moisturizing Hand Soap (400ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Softsoap,N/A,400ml,Plastic Bottle,$4.59,$6.12,USD,Normal,730,0.673,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 4, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Dove,N/A,500ml,Plastic Bottle,$33.44,$40.33,USD,Normal,730,0.99,FALSE,FALSE
"Vaseline Intensive Care Cocoa Radiant Lotion (Pack of 3, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Vaseline,N/A,500ml,Plastic Bottle,$35.80,$41.20,USD,Normal,730,1.131,FALSE,FALSE
Palmolive Naturals Milk & Honey Body Wash (400ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Palmolive,N/A,400ml,Plastic Bottle,$10.49,$13.31,USD,Normal,730,0.639,FALSE,FALSE
"Old Spice Swagger Body Wash (Pack of 2, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Old Spice,N/A,750ml,Plastic Bottle,$20.72,$25.55,USD,Normal,730,1.08,FALSE,FALSE
"Vaseline Intensive Care Cocoa Radiant Lotion (Pack of 2, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Vaseline,N/A,200ml,Plastic Bottle,$18.94,$28.68,USD,Normal,730,1.428,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 3, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Nivea,N/A,500ml,Plastic Bottle,$21.20,$29.62,USD,Normal,730,1.099,FALSE,FALSE
"Softsoap Moisturizing Hand Soap (Pack of 4, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Softsoap,N/A,750ml,Plastic Bottle,$47.14,$64.79,USD,Normal,730,0.877,FALSE,FALSE
"Vaseline Intensive Care Cocoa Radiant Lotion (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Vaseline,N/A,250ml,Plastic Bottle,$19.67,$27.73,USD,Normal,730,1.406,FALSE,FALSE
Palmolive Naturals Milk & Honey Body Wash (250ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Palmolive,N/A,250ml,Plastic Bottle,$14.05,$20.43,USD,Normal,730,0.397,FALSE,FALSE
Jergens Shea Butter Deep Conditioning Lotion (750ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Jergens,N/A,750ml,Plastic Bottle,$12.88,$16.24,USD,Normal,730,0.411,FALSE,FALSE
"St. Ives Fresh Skin Apricot Scrub (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,St. Ives,N/A,500ml,Plastic Bottle,$18.54,$27.47,USD,Normal,730,1.197,FALSE,FALSE
"Softsoap Moisturizing Hand Soap (Pack of 5, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Softsoap,N/A,750ml,Plastic Bottle,$72.12,$95.96,USD,Normal,730,3.124,FALSE,FALSE
Palmolive Naturals Milk & Honey Body Wash (200ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Palmolive,N/A,200ml,Plastic Bottle,$5.01,$7.54,USD,Normal,730,0.206,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 4, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Bath & Body Works,N/A,400ml,Plastic Bottle,$61.52,$72.67,USD,Normal,730,1.218,FALSE,FALSE
"Palmolive Naturals Milk & Honey Body Wash (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Palmolive,N/A,250ml,Plastic Bottle,$18.39,$27.58,USD,Normal,730,1.51,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 2, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Dove,N/A,400ml,Plastic Bottle,$16.02,$22.81,USD,Normal,730,0.892,FALSE,FALSE
"Aveeno Skin Relief Body Wash (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Aveeno,N/A,500ml,Plastic Bottle,$25.53,$29.58,USD,Normal,730,0.359,FALSE,FALSE
"Olay Ultra Moisture Body Wash (Pack of 2, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Olay,N/A,750ml,Plastic Bottle,$22.77,$29.95,USD,Normal,730,1.127,FALSE,FALSE
"Vaseline Intensive Care Cocoa Radiant Lotion (Pack of 4, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Vaseline,N/A,500ml,Plastic Bottle,$40.79,$58.29,USD,Normal,730,1.64,FALSE,FALSE
"Jergens Shea Butter Deep Conditioning Lotion (Pack of 2, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Jergens,N/A,750ml,Plastic Bottle,$7.60,$11.16,USD,Normal,730,1.299,FALSE,FALSE
"Olay Ultra Moisture Body Wash (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Wash,Olay,N/A,500ml,Plastic Bottle,$14.71,$18.61,USD,Normal,730,0.47,FALSE,FALSE
"Jergens Shea Butter Deep Conditioning Lotion (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Jergens,N/A,500ml,Plastic Bottle,$32.01,$44.73,USD,Normal,730,1.199,FALSE,FALSE
Jergens Shea Butter Deep Conditioning Lotion (250ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Jergens,N/A,250ml,Plastic Bottle,$17.57,$26.11,USD,Normal,730,0.263,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 2, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Nivea,N/A,200ml,Plastic Bottle,$33.12,$45.70,USD,Normal,730,0.614,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Bath & Body Works,N/A,250ml,Plastic Bottle,$20.35,$23.68,USD,Normal,730,1.545,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 5, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Bath & Body Works,N/A,400ml,Plastic Bottle,$40.35,$62.17,USD,Normal,730,1.588,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 5, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Dove,N/A,500ml,Plastic Bottle,$74.36,$108.37,USD,Normal,730,3.516,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 3, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Bath & Body Works,N/A,200ml,Plastic Bottle,$47.30,$64.75,USD,Normal,730,1.031,FALSE,FALSE
"Palmolive Naturals Milk & Honey Body Wash (Pack of 2, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Palmolive,N/A,400ml,Plastic Bottle,$17.72,$22.44,USD,Normal,730,1.141,FALSE,FALSE
"Old Spice Swagger Body Wash (Pack of 2, 500ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Old Spice,N/A,500ml,Plastic Bottle,$13.73,$16.41,USD,Normal,730,1.443,FALSE,FALSE
"Bath & Body Works Japanese Cherry Blossom Body Cream (Pack of 2, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Bath & Body Works,N/A,750ml,Plastic Bottle,$7.16,$8.31,USD,Normal,730,1.367,FALSE,FALSE
"St. Ives Fresh Skin Apricot Scrub (Pack of 3, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,St. Ives,N/A,400ml,Plastic Bottle,$9.40,$11.02,USD,Normal,730,1.507,FALSE,FALSE
Olay Ultra Moisture Body Wash (400ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Olay,N/A,400ml,Plastic Bottle,$5.13,$6.07,USD,Normal,730,0.624,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 5, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,Nivea,N/A,750ml,Plastic Bottle,$36.56,$49.24,USD,Normal,730,2.526,FALSE,FALSE
"Dove Deep Moisture Body Wash (Pack of 3, 400ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Dove,N/A,400ml,Plastic Bottle,$22.57,$32.43,USD,Normal,730,1.104,FALSE,FALSE
"Vaseline Intensive Care Cocoa Radiant Lotion (Pack of 3, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Vaseline,N/A,200ml,Plastic Bottle,$17.69,$22.84,USD,Normal,730,2.057,FALSE,FALSE
Nivea Cocoa Butter Body Lotion (250ml),Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Nivea,N/A,250ml,Plastic Bottle,$13.65,$18.12,USD,Normal,730,0.713,FALSE,FALSE
"Jergens Shea Butter Deep Conditioning Lotion (Pack of 2, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Jergens,N/A,250ml,Plastic Bottle,$27.55,$42.36,USD,Normal,730,1.221,FALSE,FALSE
"Aveeno Skin Relief Body Wash (Pack of 3, 250ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,Aveeno,N/A,250ml,Plastic Bottle,$41.50,$57.65,USD,Normal,730,0.796,FALSE,FALSE
"St. Ives Fresh Skin Apricot Scrub (Pack of 3, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Hand Soap,St. Ives,N/A,750ml,Plastic Bottle,$48.03,$56.48,USD,Normal,730,1.833,FALSE,FALSE
"Nivea Cocoa Butter Body Lotion (Pack of 3, 200ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Deodorant,Nivea,N/A,200ml,Plastic Bottle,$23.09,$34.99,USD,Normal,730,0.734,FALSE,FALSE
"St. Ives Fresh Skin Apricot Scrub (Pack of 4, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Lotion,St. Ives,N/A,750ml,Plastic Bottle,$49.98,$60.24,USD,Normal,730,2.602,FALSE,FALSE
"Jergens Shea Butter Deep Conditioning Lotion (Pack of 3, 750ml)",Nourishing formula for daily body care,Beauty & Personal Care,Bath & Body,Body Scrub,Jergens,N/A,750ml,Plastic Bottle,$26.60,$39.34,USD,Normal,730,1.982,FALSE,FALSE
Oral-B Glide Floss Picks (Standard),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothpaste,Oral-B,N/A,Standard,Plastic,$31.64,$42.25,USD,Normal,730,0.112,FALSE,FALSE
Crest Pro-Health Mouthwash (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Crest,N/A,75ml,Plastic,$36.65,$55.24,USD,Normal,730,0.247,FALSE,FALSE
Oral-B Pro-Health Toothbrush (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothpaste,Oral-B,N/A,75ml,Plastic/Nylon,$8.33,$10.50,USD,Normal,730,0.282,FALSE,FALSE
"Oral-B Glide Floss Picks (Pack of 2, Standard)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Oral-B,N/A,Standard,Plastic,$99.23,$146.59,USD,Normal,730,0.718,TRUE,FALSE
Colgate Total Whitening Toothpaste (100ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Colgate,N/A,100ml,Plastic/Nylon,$18.94,$28.44,USD,Normal,730,0.115,FALSE,FALSE
Crest 3D White Whitening Toothpaste (150ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothpaste,Crest,N/A,150ml,Plastic,$4.58,$5.80,USD,Normal,730,0.357,TRUE,FALSE
Colgate 360 Optic White Toothbrush (500ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Colgate,N/A,500ml,Plastic/Nylon,$41.89,$57.28,USD,Normal,730,0.159,FALSE,FALSE
Listerine Cool Mint Antiseptic Mouthwash (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Listerine,N/A,75ml,Plastic,$30.32,$39.14,USD,Normal,730,0.105,FALSE,FALSE
Crest Pro-Health Mouthwash (Standard),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothpaste,Crest,N/A,Standard,Plastic,$20.04,$30.34,USD,Normal,730,0.112,FALSE,FALSE
Oral-B Pro-Health Toothbrush (500ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Electric Toothbrush,Oral-B,N/A,500ml,Plastic,$34.51,$51.17,USD,Normal,730,0.217,FALSE,FALSE
Colgate 360 Optic White Toothbrush (100ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Colgate,N/A,100ml,Plastic/Nylon,$50.94,$68.35,USD,Normal,730,0.106,FALSE,FALSE
Waterpik Aquarius Water Flosser (500ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Waterpik,N/A,500ml,Plastic,$42.47,$54.65,USD,Normal,730,0.348,TRUE,FALSE
Sensodyne Rapid Relief Toothpaste (100ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Sensodyne,N/A,100ml,Plastic,$38.47,$48.97,USD,Normal,730,0.442,FALSE,FALSE
Colgate 360 Optic White Toothbrush (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Colgate,N/A,75ml,Plastic,$3.00,$4.03,USD,Normal,730,0.129,TRUE,FALSE
Philips Sonicare ProtectiveClean Electric Toothbrush (500ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Philips Sonicare,N/A,500ml,Plastic,$5.14,$6.16,USD,Normal,730,0.076,FALSE,FALSE
"Colgate 360 Optic White Toothbrush (Pack of 2, 75ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Colgate,N/A,75ml,Plastic,$93.92,$115.72,USD,Normal,730,0.588,TRUE,FALSE
Sensodyne Rapid Relief Toothpaste (150ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Sensodyne,N/A,150ml,Plastic,$52.29,$67.40,USD,Normal,730,0.252,TRUE,FALSE
Waterpik Aquarius Water Flosser (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Waterpik,N/A,75ml,Plastic,$30.03,$43.13,USD,Normal,730,0.411,FALSE,FALSE
"Colgate 360 Optic White Toothbrush (Pack of 2, 100ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Colgate,N/A,100ml,Plastic/Nylon,$93.96,$140.05,USD,Normal,730,0.609,TRUE,FALSE
"Colgate 360 Optic White Toothbrush (Pack of 3, 100ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Colgate,N/A,100ml,Plastic,$124.85,$192.59,USD,Normal,730,0.691,FALSE,FALSE
"Listerine Cool Mint Antiseptic Mouthwash (Pack of 2, 75ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Listerine,N/A,75ml,Plastic/Nylon,$49.38,$67.06,USD,Normal,730,0.614,FALSE,FALSE
Colgate Total Whitening Toothpaste (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Mouthwash,Colgate,N/A,75ml,Plastic/Nylon,$19.39,$23.20,USD,Normal,730,0.29,FALSE,FALSE
Crest Pro-Health Mouthwash (100ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Crest,N/A,100ml,Plastic,$31.36,$39.71,USD,Normal,730,0.393,FALSE,FALSE
Crest Pro-Health Mouthwash (150ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Crest,N/A,150ml,Plastic,$11.50,$17.82,USD,Normal,730,0.209,FALSE,FALSE
"Colgate 360 Optic White Toothbrush (Pack of 3, 75ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Electric Toothbrush,Colgate,N/A,75ml,Plastic,$25.92,$33.97,USD,Normal,730,0.937,FALSE,FALSE
Sensodyne Rapid Relief Toothpaste (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Sensodyne,N/A,75ml,Plastic/Nylon,$21.28,$26.16,USD,Normal,730,0.099,FALSE,FALSE
"Crest Pro-Health Mouthwash (Pack of 2, 150ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Electric Toothbrush,Crest,N/A,150ml,Plastic/Nylon,$78.70,$114.61,USD,Normal,730,0.653,FALSE,FALSE
"Crest 3D White Whitening Toothpaste (Pack of 2, 150ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Crest,N/A,150ml,Plastic/Nylon,$50.36,$70.06,USD,Normal,730,0.472,TRUE,FALSE
"Crest Pro-Health Mouthwash (Pack of 2, 75ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Toothbrush,Crest,N/A,75ml,Plastic,$15.69,$21.11,USD,Normal,730,0.115,FALSE,FALSE
Colgate 360 Optic White Toothbrush (Standard),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Colgate,N/A,Standard,Plastic/Nylon,$37.94,$58.38,USD,Normal,730,0.111,FALSE,FALSE
"Colgate 360 Optic White Toothbrush (Pack of 4, 75ml)",Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Colgate,N/A,75ml,Plastic/Nylon,$131.49,$178.56,USD,Normal,730,0.465,FALSE,FALSE
Crest Pro-Health Mouthwash (500ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Electric Toothbrush,Crest,N/A,500ml,Plastic,$15.87,$20.43,USD,Normal,730,0.431,TRUE,FALSE
Crest 3D White Whitening Toothpaste (75ml),Daily oral hygiene essential,Beauty & Personal Care,Oral Care,Floss,Crest,N/A,75ml,Plastic/Nylon,$22.33,$28.49,USD,Normal,730,0.234,TRUE,FALSE
